year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,DUSTIN MURPHY,REPUBLICAN,FALSE,total,38383,2071543,FALSE,20210114,REPUBLICAN
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,ADRIAN PERKINS,DEMOCRAT,FALSE,total,394049,2071543,FALSE,20210114,DEMOCRAT
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,ANTOINE PIERCE,DEMOCRAT,FALSE,total,55710,2071543,FALSE,20210114,DEMOCRAT
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,MELINDA MARY PRICE,OTHER,FALSE,total,7680,2071543,FALSE,20210114,OTHER
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,AARON C. SIGLER,LIBERTARIAN,FALSE,total,11321,2071543,FALSE,20210114,LIBERTARIAN
2020,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,FALSE,PETER WENSTRUP,DEMOCRAT,FALSE,total,14454,2071543,FALSE,20210114,DEMOCRAT
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,SUSAN MARGARET COLLINS,REPUBLICAN,FALSE,total,417645,828305,FALSE,20210114,REPUBLICAN
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,SARA I. GIDEON,DEMOCRAT,FALSE,total,347223,828305,FALSE,20210114,DEMOCRAT
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,MAX PATRICK LINN,INDEPENDENT,FALSE,total,13508,828305,FALSE,20210114,OTHER
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,LISA SAVAGE,INDEPENDENT,FALSE,total,40579,828305,FALSE,20210114,OTHER
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,,,TRUE,total,228,828305,FALSE,20210114,OTHER
2020,MAINE,ME,23,11,2,US SENATE,statewide,gen,FALSE,BLANK VOTES,,FALSE,total,9122,828305,FALSE,20210114,OTHER
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,FALSE,EDWARD J. MARKEY,DEMOCRAT,FALSE,total,2357809,3658005,FALSE,20210114,DEMOCRAT
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,FALSE,KEVIN J. O'CONNER,REPUBLICAN,FALSE,total,1177765,3658005,FALSE,20210114,REPUBLICAN
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,FALSE,SHIVA AYYADURAI,,FALSE,total,21134,3658005,FALSE,20210114,OTHER
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,FALSE,,,TRUE,total,7428,3658005,FALSE,20210114,OTHER
2020,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,FALSE,BLANK VOTES,,FALSE,total,93869,3658005,FALSE,20210114,OTHER
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,GARY PETERS,DEMOCRAT,FALSE,total,2734568,5479720,FALSE,20210114,DEMOCRAT
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,JOHN JAMES,REPUBLICAN,FALSE,total,2642233,5479720,FALSE,20210114,REPUBLICAN
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,VALERIE L. WILLIS,US TAXPAYERS,FALSE,total,50597,5479720,FALSE,20210114,OTHER
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,MARCIA SQUIER,GREEN,FALSE,total,39217,5479720,FALSE,20210114,OTHER
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,DOUG DERN,NATURAL LAW,FALSE,total,13093,5479720,FALSE,20210114,OTHER
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,ROBERT WILLIAM CARR,,TRUE,total,5,5479720,FALSE,20210114,OTHER
2020,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,FALSE,LEONARD PAUL GADZINSKI,,TRUE,total,7,5479720,FALSE,20210114,OTHER
2020,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,FALSE,KEVIN O'CONNOR,LEGAL MARIJUANA NOW,FALSE,total,190154,3214256,FALSE,20210114,OTHER
2020,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,FALSE,OLIVER STEINBERG,GRASSROOTS,FALSE,total,57174,3214256,FALSE,20210114,OTHER
2020,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,FALSE,JASON LEWIS,REPUBLICAN,FALSE,total,1398145,3214256,FALSE,20210114,REPUBLICAN
2020,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,FALSE,TINA SMITH,DEMOCRAT,FALSE,total,1566522,3214256,FALSE,20210114,DEMOCRAT
2020,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,FALSE,,,TRUE,total,2261,3214256,FALSE,20210114,OTHER
2020,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,FALSE,MIKE ESPY,DEMOCRAT,FALSE,total,578691,1311354,FALSE,20210114,DEMOCRAT
2020,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,FALSE,CINDY HYDE-SMITH,REPUBLICAN,FALSE,total,709511,1311354,FALSE,20210114,REPUBLICAN
2020,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,FALSE,JIMMY L. EDWARDS,LIBERTARIAN,FALSE,total,23152,1311354,FALSE,20210114,LIBERTARIAN
2020,MONTANA,MT,30,81,64,US SENATE,statewide,gen,FALSE,STEVE BULLOCK,DEMOCRAT,FALSE,total,272463,605637,FALSE,20210114,DEMOCRAT
2020,MONTANA,MT,30,81,64,US SENATE,statewide,gen,FALSE,STEVE DAINES,REPUBLICAN,FALSE,total,333174,605637,FALSE,20210114,REPUBLICAN
2020,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,FALSE,BEN SASSE,REPUBLICAN,FALSE,total,583507,930012,FALSE,20210114,REPUBLICAN
2020,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,FALSE,CHRIS JANICEK,DEMOCRAT,FALSE,total,227191,930012,FALSE,20210114,DEMOCRAT
2020,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,FALSE,GENE SIADEK,LIBERTARIAN,FALSE,total,55115,930012,FALSE,20210114,LIBERTARIAN
2020,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,FALSE,PRESTON LOVE JR.,,TRUE,total,58411,930012,FALSE,20210114,OTHER
2020,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,FALSE,,,TRUE,total,5788,930012,FALSE,20210114,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,FALSE,CORKY MESSNER,REPUBLICAN,FALSE,total,326229,795914,FALSE,20210114,REPUBLICAN
2020,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,FALSE,JEANNE SHAHEEN,DEMOCRAT,FALSE,total,450778,795914,FALSE,20210114,DEMOCRAT
2020,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,FALSE,JUSTIN O'DONNELL,LIBERTARIAN,FALSE,total,18421,795914,FALSE,20210114,LIBERTARIAN
2020,NEW HAMPSHIRE,NH,33,12,4,US SENATE,statewide,gen,FALSE,,,TRUE,total,486,795914,FALSE,20210114,OTHER
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,FALSE,CORY BOOKER,DEMOCRAT,FALSE,total,2541178,4440440,FALSE,20210114,DEMOCRAT
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,FALSE,"RIKIN ""RIK"" MEHTA",REPUBLICAN,FALSE,total,1817052,4440440,FALSE,20210114,REPUBLICAN
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,FALSE,MADELYN R. HOFFMAN,GREEN,FALSE,total,38288,4440440,FALSE,20210114,OTHER
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,FALSE,VERONICA FERNANDEZ,"OF, BY, FOR!",FALSE,total,32290,4440440,FALSE,20210114,OTHER
2020,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,FALSE,DANIEL BURKE,LAROUCHE WAS RIGHT,FALSE,total,11632,4440440,FALSE,20210114,OTHER
