name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Hillary O'Connor Mueri,U.S. House Ohio District 14,Democratic Party,Federal,Congress,356,356
Hillary Scholten,U.S. House Michigan District 3,Democratic Party,Federal,Congress,842,842
Ian Todd,U.S. House Minnesota District 6,Democratic Party,Federal,Congress,11,11
Ibrahim Taher,U.S. Senate Oregon,Green Party,Federal,State,11,11
Ihssane Leckey,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,73,80
Ilhan Omar,U.S. House Minnesota District 5,Democratic Party,Federal,Congress,220,220
Isaac McCorkle,U.S. House Colorado District 4,Democratic Party,Federal,Congress,67,67
J. Ross Lacy,U.S. House Texas District 11,Republican Party,Federal,Congress,13,13
J.D. Scholten,U.S. House Iowa District 4,Democratic Party,Federal,Congress,231,231
Jack Bergman,U.S. House Michigan District 1,Republican Party,Federal,Congress,33,33
Jack Reed,U.S. Senate Rhode Island,Democratic Party,Federal,State,18,18
Jack Wyman,U.S. House Texas District 26,Republican Party,Federal,Congress,11,11
Jackie Gordon,U.S. House New York District 2,Democratic Party,Federal,Congress,443,443
Jacob LaTurner,U.S. House Kansas District 2,Republican Party,Federal,Congress,36,36
Jahana Hayes,U.S. House Connecticut District 5,Democratic Party,Federal,Congress,43,43
Jaime Harrison,U.S. Senate South Carolina,Democratic Party,Federal,State,1087,1087
Jaime Herrera Beutler,U.S. House Washington District 3,Republican Party,Federal,Congress,111,111
Jake Auchincloss,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,58,58
Jamaal Bowman,U.S. House New York District 16,Democratic Party,Federal,Congress,378,378
James Baldini,U.S. House New Jersey District 5,Republican Party,Federal,Congress,41,41
James Clyburn,U.S. House South Carolina District 6,Democratic Party,Federal,Congress,137,137
James Mackler,U.S. Senate Tennessee,Democratic Party,Federal,State,139,139
Jamie Cheek,U.S. House Utah District 1,Democratic Party,Federal,Congress,28,28
Jamie Zahlaway Belsito,U.S. House Massachusetts District 6,Democratic Party,Federal,Congress,53,53
Janessa Goldbeck,U.S. House California District 53,Democratic Party,Federal,Congress,79,79
Janet Barresi,U.S. House Oklahoma District 5,Republican Party,Federal,Congress,77,77
Jared Golden,U.S. House Maine District 2,Democratic Party,Federal,Congress,182,182
Jared Huffman,U.S. House California District 2,Democratic Party,Federal,Congress,51,51
Jason Alexander Roberge,U.S. House Virginia District 7,Republican Party,Federal,Congress,13,13
Jason Call,U.S. House Washington District 2,Democratic Party,Federal,Congress,43,43
Jason Crow,U.S. House Colorado District 6,Democratic Party,Federal,Congress,198,198
Jason Mrochek,U.S. House Texas District 26,Republican Party,Federal,Congress,15,15
Jason Smith,U.S. House Missouri District 8,Republican Party,Federal,Congress,58,58
Jay McFarland,U.S. House Utah District 4,Republican Party,Federal,Congress,78,78
Jeanne Shaheen,U.S. Senate New Hampshire,Democratic Party,Federal,State,1634,1634
Jeff Burdick,U.S. House California District 7,Democratic Party,Federal,Congress,18,18
Jeff Merkley,U.S. Senate Oregon,Democratic Party,Federal,State,45,45
Jeff Sessions,U.S. Senate Alabama,Republican Party,Federal,State,82,82
Jeffrey Beeler,U.S. House Washington District 1,Republican Party,Federal,Congress,34,34
Jen Perelman,U.S. House Florida District 23,Democratic Party,Federal,Congress,89,89
Jen Richardson,U.S. House Michigan District 6,Democratic Party,Federal,Congress,11,11
Jennifer Christie,U.S. House Indiana District 5,Democratic Party,Federal,Congress,40,40
Jeremy Taylor,U.S. House Iowa District 4,Republican Party,Federal,Congress,44,44
Jerrold Nadler,U.S. House New York District 10,Democratic Party,Federal,Congress,253,253
Jerry Dickinson,U.S. House Pennsylvania District 18,Democratic Party,Federal,Congress,13,13
Jerry Evans,U.S. House Illinois District 14,Republican Party,Federal,Congress,30,30
Jesse Mermell,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,138,138
Jesse Philippe,U.S. House Florida District 15,Democratic Party,Federal,Congress,20,20
Jessi Ebben,U.S. House Wisconsin District 3,Republican Party,Federal,Congress,51,51
Jessi Melton,U.S. House Florida District 22,Republican Party,Federal,Congress,39,39
Jessica Cisneros,U.S. House Texas District 28,Democratic Party,Federal,Congress,101,101
Jessica Scarane,U.S. Senate Delaware,Democratic Party,Federal,State,101,101
Jessica Taylor,U.S. House Alabama District 2,Republican Party,Federal,Congress,20,20
Jill Schupp,U.S. House Missouri District 2,Democratic Party,Federal,Congress,1326,1326
Jim Banks,U.S. House Indiana District 3,Republican Party,Federal,Congress,62,62
Jim Bognet,U.S. House Pennsylvania District 8,Republican Party,Federal,Congress,143,143
Jim Langevin,U.S. House Rhode Island District 2,Democratic Party,Federal,Congress,50,50
Jim McGovern,U.S. House Massachusetts District 2,Democratic Party,Federal,Congress,105,105
Jim Oberweis,U.S. House Illinois District 14,Republican Party,Federal,Congress,69,69
Jimmy Crumpacker,U.S. House Oregon District 2,Republican Party,Federal,Congress,10,10
Jimmy Gomez,U.S. House California District 34,Democratic Party,Federal,Congress,212,212
Joe Courtney,U.S. House Connecticut District 2,Democratic Party,Federal,Congress,24,24
Joe Cunningham,U.S. House South Carolina District 1,Democratic Party,Federal,Congress,392,392
Joe Neguse,U.S. House Colorado District 2,Democratic Party,Federal,Congress,32,32
Joe Walz,U.S. House Texas District 22,Republican Party,Federal,Congress,32,32
Joel Newby,U.S. House Ohio District 15,Democratic Party,Federal,Congress,96,96
John Blair,U.S. House New Mexico District 3,Democratic Party,Federal,Congress,107,107
John Cornyn,U.S. Senate Texas,Republican Party,Federal,State,792,792
John Cummings,U.S. House New York District 14,Republican Party,Federal,Congress,244,244
John Dennis,U.S. House California District 12,Republican Party,Federal,Congress,16,16
John Emmons,U.S. House Pennsylvania District 6,Republican Party,Federal,Congress,104,104
John Garamendi,U.S. House California District 3,Democratic Party,Federal,Congress,36,36
John Hickenlooper,U.S. Senate Colorado,Democratic Party,Federal,State,670,670
John James,U.S. Senate Michigan,Republican Party,Federal,State,209,209
John Kael Weston,U.S. House Utah District 2,Democratic Party,Federal,Congress,46,46
John Moolenaar,U.S. House Michigan District 4,Republican Party,Federal,Congress,121,121
John Sarbanes,U.S. House Maryland District 3,Democratic Party,Federal,Congress,118,118
Johnny Nalbandian,U.S. House California District 27,Republican Party,Federal,Congress,11,11
Jon Hoadley,U.S. House Michigan District 6,Democratic Party,Federal,Congress,415,415
Jon Menefee,U.S. House Texas District 9,Republican Party,Federal,Congress,10,10
Jon Ossoff,U.S. Senate Georgia,Democratic Party,Federal,State,763,763
Jonah Schulz,U.S. House Ohio District 11,Republican Party,Federal,Congress,25,25
Jonathan Herzog,U.S. House New York District 10,Democratic Party,Federal,Congress,36,36
Jonia Broderick,U.S. House Utah District 4,United Utah Party,Federal,Congress,14,14
